name,author,content,source,datetime,literature_type,download,cite,link,key_worlds
中国区域创新能力:因素分析与聚类研究——兼论区域创新能力综合评价的因素分析替...,周立 吴玉鸣,"基于《中国区域创新能力报告》中的数据,采用因素分析与聚类分析相结合的综合集成评估方法,对我国大陆31个省级区域的创新能力进行了定量评估及比较,同时探讨了因素分析法对加权综合评价方法的替代技术。结果显示,中国省域创新能力的地区差异比较明显,用因素分析法替代现有的区域创新能力综合评价是可行的,必须分集团而非整齐划一地制定和实施增强区域自主创新能力的对策建议。",中国软科学,核心,2006年08期,5190,246,https://wap.cnki.net/touch/web/Journal/Article/ZGRK200608011.html,"区域创新能力,加权综合评价,因素分析,聚类分析"
全面创新改革试验对区域创新能力的影响效应与传导机制,林寿富 董小卿,"将2015年开始的全面创新改革试验作为一项准自然试验,构建双重差分模型,基于2008-2018年中国内地31个省份面板数据,实证评估全面创新改革试验对区域创新能力的影响效应。进一步,构建中介效应模型,从财政手段和金融手段两条路径实证检验全面创新改革试验对区域创新能力的传导机制。结果发现:全面创新改革试验能够显著提升试验区创新能力,这一结论在经过平行趋势检验与安慰剂检验后仍然稳健。经济发展水平、技术市场活跃度、人力资本水平和产业结构均对区域创新能力具有显著正向影响,但经济开放度的影响效应不显著。此外,全面创新改革试验通过财政手段和金融手段有效提升试验区创新能力。未来,政府应加大对科技创新活动的支持力度,提高财政研发投入,加快促进科技与金融相结合,不断促进各创新要素集聚与协同。",科技进步与对策,2021.05.07,网络首发,191,0,https://wap.cnki.net/touch/web/Journal/Article/KJJB20210507002.html,"全面创新改革试验,双重差分模型,区域创新能力,影响效应,传导机制"
政府创新偏好与区域创新能力:如愿以偿还是事与愿违?,张宽 黄凌云,"本文基于中国地方政府不同程度上参与区域创新系统建设的事实特征,以城市作为考察单元,并使用包含专利价值的创新指数反映区域创新能力,在因果分析框架下从财政投入强度和财政支出结构的双重视角系统评估政府创新偏好对区域创新能力的影响效果。研究发现:在中国情境下,政府创新偏好与区域创新能力之间表现出稳健的正向关系,这种正向影响在因果分析框架下仍然成立。异质性分析表明:就政府创新偏好对区域创新能力的作用效果而言,东部和中部区域作用效果比西部区域更为明显;大城市作用效果比中小城市水平略低。随着区域创新能力不断增强,政府创新偏好对增强区域创新能力的重要性不断凸显。最后,本文还证实扩大对外开放水平、促进人力资本积累以及改善制度环境有助于充分释放政府创新偏好的技术创新效应。",财政研究,核心,2020年04期,1034,7,https://wap.cnki.net/touch/web/Journal/Article/CZYJ202004008.html,"财政科技支出,政府创新偏好,区域创新能力,外部环境"
创新平台发展对区域创新能力的溢出效应研究,陈洪玮 王欢欢,"基于2013—2017年我国29省、市、自治区创新平台相关面板数据,采用熵值法、耦合协调函数、空间相关性分析、空间杜宾模型以及门槛回归分析方法,对我国创新平台发展进行了测度并研究了创新平台发展对区域创新能力的溢出效应。研究发现:(1)我国大多数地区创新平台发展协调度处于低水平协调阶段,各类平台之间拮抗发展,创新平台良好协调发展机制尚未成型;(2)创新平台与区域创新能力的高值区主要位于东部沿海、长三角地区中心腹地等,低值区主要在新疆等西部地区;(3)创新平台发展与区域创新能力之间存在显著的正相关关系和空间溢出效应,从溢出效应分解来看,直接(区内)溢出效果优于间接(区际)溢出;(4)政府支持在一定程度上负向调节创新平台发展与区域创新之间的关系,但随着政府支持强度的增加会削弱其负向调节效用。最后,依据研究结论提出相应的政策建议。",科学学与科学技术管理,核心,2020年03期,893,5,https://wap.cnki.net/touch/web/Journal/Article/KXXG202003003.html,"创新平台,区域创新能力,溢出效应,空间杜宾模型,门槛回归"
山东省区域创新能力与创新效率评价研究,陈海鹏 付修勇 张晶,"在知识经济时代,区域创新能力和创新效率已成为衡量一个地区发展潜力的重要指标.以山东省17地市作为研究对象,运用主成分分析法得出影响区域创新能力的主要影响因子,对17地市的创新能力进行了排名并结合主成分探讨了创新能力差异的原因.运用DEA方法分析了17地市的创新效率,探讨了创新能力与创新效率之间的关系,并提出了相应的结论.",德州学院学报,2017年06期,,120,1,https://wap.cnki.net/touch/web/Journal/Article/DZHX201706013.html,"区域,创新能力,创新效率,影响因素"
中国式财政分权与区域创新能力——基于R&D边际创新产出及要素市场扭曲的解释框架,薛婧 张梅青 王静宇,"本文构建基于要素市场扭曲、研发投入竞争的R&D边际创新产出解释框架,利用改进后的知识生产函数及含有交叉项的空间计量模型,运用2007-2016年中国省级面板数据进行实证分析,并结合偏微分效应分解,研究支出分权、收入分权及财政压力对研发投入创新转化的影响。结果显示,财政分权制度、R&D政府与企业投入、FDI、互联网普及、金融业发展、人力资本提升均是本地创新能力增强的重要驱动因素;支出分权显著强化政府研发投入对区域创新的直接效应和空间溢出,缓解要素市场扭曲并倾向于""竞优"";收入分权削弱地方政府提高政府资源利用效率的动力,具有干扰要素市场及研发投入向创新转化的可能;财政压力促使地方政府吸引创新要素和企业转移;总体上,分权有助于R&D向经济增长转化。地方政府行为已受到""创新标尺""的影响,支出分权和收入分权结构的调整和匹配是我国财政制度改革的题中之义。",经济问题探索,核心,2018年11期,805,15,https://wap.cnki.net/touch/web/Journal/Article/JJWS201811019.html,"财政分权,R&D,创新,知识生产函数,空间计量模型,偏微分效应分解"
基于系统动力学的创新投入与区域创新能力关系研究——来自天津的实证,杨洪涛 左舒文,"如何调整创新投入的数量和结构,是进一步提升区域创新能力的重要途径。采用系统动力学方法构建天津市区域创新系统模型,通过Vensim软件进行仿真,发现不同的创新投入形式和途径在提升天津市区域创新能力方面的作用效果。研究结果表明:(1)从长期来看,政府教育投入能够提高区域创新能力,但规模效应不明显。(2)在提高区域创新能力方面,政府和企业对R&D活动投入的增加都能起到显著的作用,相比而言,增加企业R&D投入的短期效果好,而增加政府R&D投入的长期效果好。(3)在总投入不变的情况下,政府或企业将更多的R&D经费投向高校和研发机构能更好地提升区域创新能力。(4)良好的创新环境能够迅速、显著地提升区域创新能力。",科技管理研究,核心,2017年03期,495,11,https://wap.cnki.net/touch/web/Journal/Article/KJGL201703004.html,"区域创新系统,区域创新能力,创新投入,系统动力学"
不同FDI进入方式对区域创新能力影响研究——基于市场化程度差异视角,左勇华 黄吉焱,"理论分析不同市场化程度地区的FDI进入方式选择对提升地区创新能力的差异性影响,再基于2001—2014年省际面板数据对其进行实证检验。经研究发现,提高中外合资比例仅能提升我国非发明类创新能力,且对市场化程度更高地区的影响更明显,但它无益于各地区发明类创新能力的提升;而提高FDI独资比例将有利于增强我国发明类原始创新能力,且对市场化程度较高地区的影响更明显,但它对非发明类创新的影响不显著。对所得结论进行深层次原因解释后,提出若干政策建议。",科技管理研究,核心,2017年06期,434,11,https://wap.cnki.net/touch/web/Journal/Article/KJGL201706014.html,"市场化进程,FDI进入方式,区域创新能力"
我国区域创新能力对区域发展的影响机制研究,周海英,"区域创新能力通过技术、产业与文化等途径实现对区域发展的影响。提升我国区域创新能力还存在外商直接投资背景下技术溢出不足、未能为区域创新发展提供充足的资金保障等问题。因此,要科学发挥外商直接投资的技术溢出效应,构建良好的区域创新发展金融支持环境,加强人才培养。",改革与战略,核心,,225,4,https://wap.cnki.net/touch/web/Journal/Article/GGZY201705034.html,"区域创新,区域发展,机制"
区域创新环境、创新能力与创新绩效关系之实证研究,张莹,"随着知识经济的发展和全球化程度的日益加深,世界经济发展呈现出区域化的特征,新的世界分工不再以国家,而是按照区域竞争力来进行,区域创新能力正日益成为区域经济获取国际竞争优势的决定性因素。与此同时,各国纷纷寻求造成一个国家不同区域之间发展不平衡的原因,经过多年的理论发展和反思之后,各国都意识到挖掘内在的区域发展潜力是区域经济可持续发展的根本保证,经济的不断持续发展来源于技术创新能力的提高,而技术创新能力的提高取决于本地区的良好的创新环境。某一地区良好的创新绩效不仅来自于区域内各个创新主体内部活跃的创新能力,更来自于良好的区域创新环境。 本文从区域这一中观视角,采用2002～2006《中国区域创新能力报告》中区域创新能力各指标的相关数据,对创新环境对创新能力的影响;创新能力体系中,知识创造、知识获取对知识应用的影响以及创新环境、创新能力对创新绩效的影响三个问题在理论分析的基础上进行了实证研究。 研究结果显示:从创新环境对区域创新能力的影响看,创新环境中基础设施、劳动者素质、市场需求、金融环境、创业水平对创新能力均有显著的正向影响,其中市场需求和劳动者素质对创新能力的影响最为重要,金融环境次之,基础设施和创业水平影响最低。从区域创新能力的内部结构分析,知识获取对知识应用的作用是巨大的,而知识创造对促进知识应用的影响较小。从创新环境、创新能力对创新绩效的影响来看,知识创造、知识获取、创新环境对创新绩效的贡献显著,其中尤以知识获取和创新环境的贡献较大。而知识应用对创新绩效不仅没有正的影响,还有一定的负作用。 在理论分析和实证研究的基础上,本文就如何更好地营造区域创新环境,提高创新能力和创新绩效方面提出了相应对策。",重庆大学,2009年,硕士论文,1219,13,https://wap.cnki.net/touch/web/Dissertation/Article/10611-2009220302.nh.html,"区域创新环境,创新能力,创新绩效,面板数据模型"
2008—2013年云南省区域创新能力分析——《中国区域创新能力报告》解读,徐波 张铁刚 陶敏阳,"受全球金融危机影响及面临中国经济发展的""新常态"",云南省正处于转型升级的关键时期,提升区域创新能力、实现创新驱动至关重要。以《中国区域创新能力报告》为基础,依据各具体评价指标,从排名和指标值两个维度,对2008-2013年云南省区域创新能力进行纵向比较,同时将云南省与丝绸之路经济带其他省份进行横向比较。结果显示:云南省总体上创新能力不仅比较差,而且呈逐年下滑态势。故认为创新主体能力不强、创新要素配置较低、创新环境有待加强等三方面是制约云南区域创新能力较弱的原因。据此,应从政府、产业、企业三个层面寻求突破,以提升云南省的区域创新能力。",昆明理工大学学报(社会科学版),2014年06期,,288,3,https://wap.cnki.net/touch/web/Journal/Article/KMLS201406012.html,"区域创新能力,对比分析,创新主体,创新要素,创新环境"
区域创新系统演化及与创新能力的关系研究,伍虹儒,"为讨论区域创新系统和区域创新能力的关系,使用因子分析方法对我国区域创新系统演化进行研究。研究显示各地政府在制定区域创新政策时,应注重加快市场经济的建设力度,促进企业合理竞争,通过市场压力,促进企业创新投入,使企业成为区域创新体系主体。特别是落后地区,应加快市场经济建设,缩短和发达地区经济发展和创新能力的差距。",技术与创新管理,2013年01期,,176,7,https://wap.cnki.net/touch/web/Journal/Article/KJRC201301001.html,"区域创新系统,区域创新能力,演化"
跨国公司R&D投资对区域创新能力影响的实证研究——基于区域创新知识生产函数的分...,赵健,"随着跨国公司海外R&D投资的发展,中国的跨国公司R&D机构也在不断增多,跨国公司R&D投资对于我国经济的影响中,很重要的一方面是对于区域创新能力的影响。本文对于跨国公司R&D投资对区域创新能力的影响进行了深入的研究,在分析跨国公司R&D投资的现状的基础上,从定性和定量两个角度分析了跨国公司R&D投资对区域创新能力的影响,在定性研究中从直接效应和间接效应两方面进行论述,在定量研究中运用计量经济学模型进行研究。在跨国公司R&D投资对区域创新能力影响的分析的基础上,本文向政府和企业两方面提出了相应的对策建议。",工业技术经济,核心,2012年07期,430,9,https://wap.cnki.net/touch/web/Journal/Article/GHZJ201207022.html,"跨国公司R&D投资,区域创新能力,知识生产函数"
我国区域创新网络结构特征对区域创新能力影响的实证研究,任胜钢 胡春燕 王龙伟,"构建了区域创新网络结构特征的测评体系,通过相关统计年鉴数据,运用回归分析方法探析了区域创新网络六个维度的结构特征对区域创新能力的影响机制,研究结果表明网络规模、网络结构洞、网络开放性以及网络强联系和弱联系对区域创新能力具有显著的正向作用,而网络集中度没有发挥增长极应有的扩散效应,对创新能力提升作用不明显。",系统工程,核心,2011年02期,2418,129,https://wap.cnki.net/touch/web/Journal/Article/GCXT201102009.html,"区域创新网络,区域创新能力,网络结构洞,强联系,弱联系"
创新环境对促进我国区域创新能力的影响,党文娟 张宗益 康继军,"我国经济发展的不平衡导致各个地区的市场化进程、政府干预程度存在很大差异,区域环境很不平衡。本文运用全国各个地区的数据,采用计数模型中的负二项分布negatitive-binomial方法分析了区域环境对促进区域创新能力的影响。结果表明我国政府对提高区域整体创新能力的影响作用还不明显,但是对具有自主创新能力和增强原创性的发明专利却具有积极的促进作用。各个地区的市场化程度对提高区域创新能力具有非常明显的促进作用,区域环境对区域创新能力具有非常重要的影响作用。只有积极进行区域市场化程度的推进以及发挥各地政府的创新引导作用才是提高区域创新能力的关键。",中国软科学,核心,2008年03期,2622,206,https://wap.cnki.net/touch/web/Journal/Article/ZGRK200803007.html,"市场化程度,政府干预程度,区域创新能力,计数模型"
建设区域创新体系 提高区域创新能力,吴丽鸣,"在新的历史时期,面对全面建设小康社会的客观要求,面对市委提出的“一争一创一率先”的奋斗目标,要把握我市科技工作的重点,有效地促进区域创新体系建设,切实提高区域创新能力,努力为全市经济社会持续健康发展做出贡献。",济源职业技术学院学报,2003年03期,,59,1,https://wap.cnki.net/touch/web/Journal/Article/JYZB200303000.html,"区域创新,体系,能力,建设,提高"
珠三角城市创新能力及创新空间溢出效应研究,张璇,"国家、地区如何在全球化的进程中加快经济发展的脚步,核心在于提高自身的核心竞争力,而提高核心竞争力的重要途径之一是创新能力的培养和提高。珠三角地区一直作为改革开放先行区和重要的经济中心区域,在全国经济发展和改革开放战略中发挥着突出的带动作用,在粤港澳大湾区背景下,更是肩负将粤港澳大湾区建设成为国际科技创新中心的使命。但是,珠三角东西两岸的经济发展极端不平衡,创新能力两极化的问题突出,对国际科技创新中心的建设极其不利。因此,本文一方面运用描述性统计和综合评价对珠三角城市创新能力的历史情况及现状进行了全面分析,试图理清珠三角城市创新的特征、存在的问题及优势;另一方面,从创新空间溢出理论出发,明确创新空间溢出效应影响因素、影响作用以及影响程度,为珠三角的创新能力提供科学合理的提升路径,并为其他地区的创新发展提供可借鉴的结论。研究结果发现:(1)珠三角城市创新发展不平衡,空间上呈现“中心高—外围低”的特征;(2)珠三角城市的创新能力在创新产出、创新投入、创新环境和创新效率方面各有优劣势;(3)在地理和经济的空间权重矩阵下,珠三角的创新产出表现出与经济发展水平的紧密关联性以及突出的局部同类集聚和路径依赖现象;(4)珠三角城市的创新产出存在显著的正向溢出效应,且创新资金和人员投入、人力资本水平、经济发展水平、科技政策环境和对外贸易水平对本地创新产出有正向促进作用,外商直接投资水平则有抑制作用。根据研究结果提出提升珠三角城市创新能力,改善创新发展不平衡应补足区域创新短板,提高区域创新能力;依托广深科技创新走廊,发挥创新产出溢出作用;加大科研资金和人员投入,提高创新资源使用效率;发挥大市场功能,缩小地方经济差异;引进和培育高端人才,提升自主创新能力。",暨南大学,2020年,硕士论文,42,0,https://wap.cnki.net/touch/web/Dissertation/Article/10559-1021514005.nh.html,"创新能力,空间自相关,创新空间溢出"
山东省地区创新能力与经济质量的耦合协调及影响因素,姚振飞 张学波,运用熵权法、耦合协调度评价模型和空间计量模型分析了山东省地区创新能力与经济质量的耦合协调演变特征及影响因素。结果表明：①山东省地区创新能力与经济质量演变表现出同步性和耦合性的特征。②地区创新能力与经济质量的耦合水平以低度耦合为主，空间上的扩散效应较弱；创新能力和经济质量的协调水平以轻度失调为主，空间上形成了以济南和青岛为双核的中心—外围结构。③研发经费投入、高校教师数量、专利申请和利用外资等对创新能力与经济质量的协调发展有显著正向影响，而经济水平、产业结构和城乡协调状况对其呈负向影响。,资源开发与市场,2021.07.20,网络首发,205,0,https://wap.cnki.net/touch/web/Journal/Article/ZTKB20210719003.html,"创新能力,经济质量,耦合协调,影响因素,山东省"
价格因素对区域创新能力影响研究,彭绪庶 张笑,价格因素影响创新人才、要素和资源流动与配置，对区域创新生态构建和创新能力有着重要影响。本文从区域创新能力影响因素和价格因素影响区域创新能力的理论机制出发，分析了劳动力、土地和房产、能源资源和金融资产等价格因素对区域创新能力的影响。研究发现：价格因素主要是通过价格水平、价格变化方向与趋势、价格变化幅度影响企业行为选择和个体就业选择，进而影响区域创新能力。不同类型价格因素对区域创新能力的影响均同时存在正向效应和负向效应，影响程度存在较大差别，需要结合价格因素和区域因素具体分析。,价格理论与实践,2021.08.18,网络首发,0,0,https://wap.cnki.net/touch/web/Journal/Article/JGLS20210817000.html,"价格因素,区域创新能力,劳动力价格,房地产价格,能源资源价格,金融资产价格"
我国南北经济分化的影响因素研究——基于区域创新能力差异的视角,盛垒 张子彧,经济新常态以来，我国区域发展格局出现了南北经济分化的新特征，探明南北分化加剧的原因并提出相应的解决之道已变得十分迫切。该文在梳理南北经济分化态势和区域创新差异格局的基础上，基于经济新常态的发展大逻辑，从区域创新能力差异的视角出发，通过构建计量经济学面板数据模型，实证分析南北经济发展分化的成因。研究表明：1）2013以来随着北方经济增长快速回落，我国南北经济分化走势愈益突出；2）北方与南方在创新能力上的落差同样较大，且区域创新鸿沟呈现逐渐扩大的趋势；3）造成南北经济分化加剧的最重要因素在于地区创新能力差异，资本积累速度的快慢对南北分化的产生有较大贡献，制度因素也可以部分解释南北经济增长分化，但劳动力因素并不构成南北经济分化的主要原因。研究还发现，北方人力资本优势在一定程度上缓和了南北经济分化的加剧。上述结论可以为促进我国南北经济协调发展提供政策启示。,华中师范大学学报(自然科学版),2021.08.18,网络首发,0,0,https://wap.cnki.net/touch/web/Journal/Article/HZSZ20210817002.html,"南北经济分化,区域创新能力,经济新常态"
“双一流”背景下省属本科高校学科与区域创新能力建设的协同与错位,孙战文,"国家""双一流""建设和创新发展为省属本科高校学科建设及其服务区域创新能力注入了新的内涵,提供了新的发展机遇。立足于""双一流""建设背景,研究重新审视省属本科高校学科与区域创新能力建设中的机遇与挑战,提出省属本科高校学科与区域创新能力建设协同发展与错位竞争的定位,并据此提出了特色优势学科与区域创新能力和谐共生的理念,提出了特色优势学科与区域创新能力在资源、人才、价值上的协同发展以及在区域创新、特色优势、应用性方面形成错位竞争优势的具体措施。",山东农业工程学院学报,2019年11期,,156,1,https://wap.cnki.net/touch/web/Journal/Article/SYNG201911035.html,"学科建设,区域创新能力,协同发展,错位竞争"
科技人才集聚、产业集聚和区域创新能力——基于京津冀、长三角、珠三角地区的实证...,赵青霞 夏传信 施建军,"基于Cobb-Douglas生产函数构建面板数据模型,对科技人才集聚、产业集聚及其交互作用对区域创新能力的影响进行了实证研究。研究发现,制造业集聚和生产性服务业集聚都与科技人才集聚形成正向的交互效应,推动区域创新能力的提升。科技人才集聚对于区域创新能力的贡献更大,科技人才集聚对区域创新能力的影响显著为正,而产业协同集聚的效应则显著为负,产业协同集聚对区域创新能力影响存在门槛效应,当科技人才集聚的对数值超过0.254 3时,产业协同集聚对区域创新能力的总效应为正,低于0.254 3时,产业协同集聚则对区域创新起着抑制的作用。",科技管理研究,核心,2019年24期,2579,25,https://wap.cnki.net/touch/web/Journal/Article/KJGL201924008.html,"科技人才集聚,产业集聚,区域创新"
