文档名	出行	经济	防护	政治	宣传
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.1zl.txt	107	2	70	16	100
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.20zl.txt	107	11	97	18	18
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.21zl.txt	322	18	221	65	14
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.22zl.txt	178	15	79	99	20
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.23zl.txt	255	23	88	74	61
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.24zl.txt	179	14	16	7	160
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.25zl.txt	158	11	164	35	24
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.26zl.txt	397	1	400	89	22
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.27zl.txt	274	36	225	69	35
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.28zl.txt	78	8	85	21	19
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.29zl.txt	111	13	19	16	85
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.2zl.txt	40	13	201	20	84
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.30zl.txt	183	13	313	28	62
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.31zl.txt	9	3	10	5	71
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.3zl.txt	149	19	75	39	51
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.4zl.txt	54	5	107	67	64
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.5zl.txt	114	8	28	44	34
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.6zl.txt	17	28	125	81	29
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.7zl.txt	81	8	71	30	52
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.8zl.txt	157	27	179	40	74
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/3.9zl.txt	95	3	39	9	88
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.10zl.txt	86	23	193	29	50
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.11zl.txt	10	2	48	7	32
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.12zl.txt	267	15	283	43	44
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.13zl.txt	175	10	454	22	87
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.14zl.txt	31	29	14	10	39
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.15zl.txt	339	30	76	72	25
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.16zl.txt	46	8	25	10	24
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.17zl.txt	83	3	122	35	49
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.18zl.txt	8	10	63	10	56
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.19zl.txt	134	9	53	152	29
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.1zl.txt	287	36	307	64	74
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.20zl.txt	53	8	154	43	25
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.21zl.txt	138	20	49	10	68
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.22zl.txt	283	7	90	240	71
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.23zl.txt	41	5	71	25	18
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.24zl.txt	58	1	168	7	61
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.25zl.txt	118	21	34	131	21
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.26zl.txt	90	15	39	17	92
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.27zl.txt	7	1	4	4	30
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.28zl.txt	215	1	59	122	69
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.29zl.txt	138	1	57	122	41
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.2zl.txt	133	3	87	21	18
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.30zl.txt	58	3	27	90	43
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.3zl.txt	109	7	36	18	169
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.4zl.txt	50	46	51	157	2
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.5zl.txt	120	12	56	7	18
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.6zl.txt	78	7	152	73	67
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.7zl.txt	34	0	31	9	13
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/4.9zl.txt	88	1	19	37	38
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.01zl.txt	138	1	104	154	40
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.02zl.txt	120	9	51	105	42
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.03zl.txt	145	7	16	107	54
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.04zl.txt	16	20	117	0	86
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.05zl.txt	123	10	137	67	19
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.06zl.txt	35	39	98	73	79
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.07zl.txt	17	9	109	47	45
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.08zl.txt	77	53	28	93	29
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.09zl.txt	102	4	82	94	39
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.10zl.txt	101	7	170	18	17
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.11zl.txt	159	0	88	163	31
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.12zl.txt	101	1	50	148	24
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.13zl.txt	118	41	229	33	94
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.14zl.txt	188	27	269	17	41
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.15zl.txt	151	10	93	14	162
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.16zl.txt	157	7	113	17	35
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.17zl.txt	127	1	84	9	81
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.18zl.txt	67	18	171	103	113
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.19zl.txt	142	2	26	132	28
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.20zl.txt	143	57	17	118	32
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.21zl.txt	25	25	41	173	37
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.22zl.txt	58	3	79	22	96
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.23zl.txt	126	2	66	137	37
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.24zl.txt	156	5	5	44	79
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.25zl.txt	157	3	11	139	17
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.26zl.txt	148	1	101	157	91
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.27zl.txt	129	1	113	155	34
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.28zl.txt	77	1	68	79	48
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.29zl.txt	68	4	79	9	97
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.30zl.txt	175	4	363	5	171
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.31zl.txt	124	2	61	127	16
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/5.4zl.txt	71	3	103	23	148
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.01zl.txt	20	15	98	18	30
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.02zl.txt	182	13	45	14	128
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.03zl.txt	85	11	55	110	64
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.04zl.txt	149	4	37	125	21
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.05zl.txt	73	9	17	64	31
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.06zl.txt	121	4	216	20	118
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.07zl.txt	51	3	6	44	101
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.08zl.txt	150	6	141	8	31
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.09zl.txt	113	5	14	107	37
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.10zl.txt	132	1	73	143	18
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.11zl.txt	42	8	452	45	38
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.12zl.txt	196	16	103	14	71
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.13zl.txt	231	10	170	19	57
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.13zl2.txt	301	10	104	34	27
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.14zl.txt	100	24	96	23	91
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.15zl.txt	94	7	80	26	77
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.16zl.txt	117	12	70	56	54
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.17zl.txt	164	6	67	4	198
C:\Users\13284\Desktop\疫情数据比赛\去除标签\data/6.2zl.txt	73	4	113	101	51
